(000.000000)  can0  701   [1]  00
(000.000400)  can0  000   [2]  82 02
(000.002632)  can0  000   [2]  82 03
(000.000407)  can0  000   [2]  82 04
(000.011081)  can0  000   [2]  82 05
(000.001759)  can0  000   [2]  82 06
(000.000495)  can0  000   [2]  82 07
(000.000881)  can0  000   [2]  82 08
(000.000544)  can0  000   [2]  82 09
(000.000415)  can0  000   [2]  82 0A
(000.000477)  can0  000   [2]  82 0B
(000.000417)  can0  000   [2]  82 0C
(000.000402)  can0  000   [2]  82 0D
(000.000417)  can0  000   [2]  82 0E
(000.000556)  can0  000   [2]  82 0F
(000.000616)  can0  000   [2]  82 10
(000.000404)  can0  000   [2]  82 11
(000.000628)  can0  000   [2]  82 12
(000.000403)  can0  000   [2]  82 13
(000.000665)  can0  000   [2]  82 14
(000.000412)  can0  000   [2]  82 15
(000.000740)  can0  000   [2]  82 16
(000.000404)  can0  000   [2]  82 17
(000.000536)  can0  000   [2]  82 18
(000.000464)  can0  000   [2]  82 19
(000.000459)  can0  000   [2]  82 1A
(000.000469)  can0  000   [2]  82 1B
(000.000599)  can0  000   [2]  82 1C
(000.000465)  can0  000   [2]  82 1D
(000.000416)  can0  000   [2]  82 20
(000.000496)  can0  000   [2]  82 21
(000.000661)  can0  000   [2]  82 22
(000.000403)  can0  000   [2]  82 23
(000.000408)  can0  000   [2]  82 24
(000.000452)  can0  000   [2]  82 25
(000.000616)  can0  000   [2]  82 26
(000.000468)  can0  000   [2]  82 27
(000.000464)  can0  000   [2]  82 28
(000.000400)  can0  000   [2]  82 29
(000.000743)  can0  000   [2]  82 2A
(000.000416)  can0  000   [2]  82 2B
(000.000460)  can0  000   [2]  82 2C
(000.003857)  can0  000   [2]  82 2D
(000.000576)  can0  000   [2]  82 2E
(000.003368)  can0  000   [2]  82 2F
(000.000488)  can0  000   [2]  82 30
(000.000460)  can0  000   [2]  82 31
(000.000459)  can0  000   [2]  82 32
(000.000397)  can0  000   [2]  82 33
(000.000392)  can0  000   [2]  82 34
(000.000386)  can0  000   [2]  82 35
(000.000402)  can0  000   [2]  82 36
(000.000412)  can0  000   [2]  82 37
(000.000401)  can0  000   [2]  82 38
(000.000591)  can0  000   [2]  82 39
(000.000400)  can0  000   [2]  82 3A
(000.000400)  can0  000   [2]  82 3B
